DNS Resolver Log Started: 2025-10-26T15:38:47.507270
{'step_of_resolution': 'Root', 'response_or_referral': 'No authority section for delegation', 'domain_name': 'wpad', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2558s', 'timestamp': '2025-10-26T15:38:55.963412', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1817s', 'timestamp': '2025-10-26T15:41:11.343082', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2918s', 'timestamp': '2025-10-26T15:41:10.928712', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2803s', 'timestamp': '2025-10-26T15:41:10.316083', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2892s', 'timestamp': '2025-10-26T15:41:09.701718', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2873s', 'timestamp': '2025-10-26T15:41:09.187640', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'domain_name': 'ns25.domaincontrol.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2151s', 'timestamp': '2025-10-26T15:41:08.576332', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: ns25.domaincontrol.com.', 'domain_name': 'diamondknot.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2786s', 'timestamp': '2025-10-26T15:41:08.058963', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'amorefieldlife.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1855s', 'timestamp': '2025-10-26T15:41:13.335854', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns1.bluehost.com. @ Glue IP: 162.159.24.80', 'domain_name': 'amorefieldlife.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1920s', 'timestamp': '2025-10-26T15:41:13.542029', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 162.241.226.124', 'domain_name': 'amorefieldlife.com', 'cache_status': 'MISS', 'dns_server_ip': '162.159.24.80', 'round_trip_time': '0.1926s', 'timestamp': '2025-10-26T15:41:13.740384', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.5903s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'sheltercoveinn.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1832s', 'timestamp': '2025-10-26T15:41:13.978513', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1912s', 'timestamp': '2025-10-26T15:41:14.462606', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1995s', 'timestamp': '2025-10-26T15:41:14.925814', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2025s', 'timestamp': '2025-10-26T15:41:15.339055', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2931s', 'timestamp': '2025-10-26T15:41:15.848327', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2551s', 'timestamp': '2025-10-26T15:41:16.420087', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3028s', 'timestamp': '2025-10-26T15:41:16.982107', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2060s', 'timestamp': '2025-10-26T15:41:17.498434', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1973s', 'timestamp': '2025-10-26T15:41:17.910490', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2295s', 'timestamp': '2025-10-26T15:41:18.441765', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2960s', 'timestamp': '2025-10-26T15:41:19.023579', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: dns1.name-services.com.', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2791s', 'timestamp': '2025-10-26T15:41:19.326582', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: dns1.name-services.com.', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2508s', 'timestamp': '2025-10-26T15:41:18.712857', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: dns1.name-services.com.', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2783s', 'timestamp': '2025-10-26T15:41:18.202255', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: dns1.name-services.com.', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1889s', 'timestamp': '2025-10-26T15:41:17.701119', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: dns1.name-services.com.', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2762s', 'timestamp': '2025-10-26T15:41:17.280243', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: dns1.name-services.com.', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2309s', 'timestamp': '2025-10-26T15:41:16.666499', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: dns1.name-services.com.', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2953s', 'timestamp': '2025-10-26T15:41:16.154023', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: dns1.name-services.com.', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1851s', 'timestamp': '2025-10-26T15:41:15.540962', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: dns1.name-services.com.', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1916s', 'timestamp': '2025-10-26T15:41:15.127981', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: dns1.name-services.com.', 'domain_name': 'dns1.name-services.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2422s', 'timestamp': '2025-10-26T15:41:14.717402', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Failed to resolve next NS IP: dns1.name-services.com.', 'domain_name': 'sheltercoveinn.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1965s', 'timestamp': '2025-10-26T15:41:14.192294', 'resolution_mode': 'Iterative (Failed delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'wrestlingfanssuck.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2859s', 'timestamp': '2025-10-26T15:41:19.636661', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'dns2.technorail.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3099s', 'timestamp': '2025-10-26T15:41:20.257654', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: a.dns.it. @ Glue IP: 194.0.16.215', 'domain_name': 'arudns1.aruba.it.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2955s', 'timestamp': '2025-10-26T15:41:20.763298', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: arudns1.aruba.it. @ Glue IP: 94.177.210.15', 'domain_name': 'arudns1.aruba.it.', 'cache_status': 'MISS', 'dns_server_ip': '194.0.16.215', 'round_trip_time': '0.2924s', 'timestamp': '2025-10-26T15:41:21.068177', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 94.177.210.15', 'domain_name': 'arudns1.aruba.it.', 'cache_status': 'MISS', 'dns_server_ip': '94.177.210.15', 'round_trip_time': '0.2972s', 'timestamp': '2025-10-26T15:41:21.373191', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.9131s'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Timeout or invalid response', 'domain_name': 'dns2.technorail.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1799s', 'timestamp': '2025-10-26T15:41:20.459687', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 95.110.136.8', 'domain_name': 'dns2.technorail.com.', 'cache_status': 'MISS', 'dns_server_ip': '94.177.210.15', 'round_trip_time': '0.2991s', 'timestamp': '2025-10-26T15:41:21.679374', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '1.7372s'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Timeout or invalid response', 'domain_name': 'wrestlingfanssuck.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2901s', 'timestamp': '2025-10-26T15:41:19.940625', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 62.149.128.40', 'domain_name': 'wrestlingfanssuck.com', 'cache_status': 'MISS', 'dns_server_ip': '95.110.136.8', 'round_trip_time': '0.3002s', 'timestamp': '2025-10-26T15:41:21.988090', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '2.6377s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: m.gtld-servers.net. @ Glue IP: 192.55.83.30', 'domain_name': 'sdccdonline.net', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2564s', 'timestamp': '2025-10-26T15:41:22.303462', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns2.csu.net. @ Glue IP: 130.150.102.20', 'domain_name': 'sdccdonline.net', 'cache_status': 'MISS', 'dns_server_ip': '192.55.83.30', 'round_trip_time': '0.2790s', 'timestamp': '2025-10-26T15:41:22.602479', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Timeout or invalid response', 'domain_name': 'sdccdonline.net', 'cache_status': 'MISS', 'dns_server_ip': '130.150.102.20', 'round_trip_time': '2.0110s', 'timestamp': '2025-10-26T15:41:24.622610', 'resolution_mode': 'Iterative (Query Failed)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: b.gtld.biz. @ Glue IP: 156.154.125.65', 'domain_name': 'autofirenze.biz', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2889s', 'timestamp': '2025-10-26T15:41:24.968297', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'dns.technorail.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2962s', 'timestamp': '2025-10-26T15:41:25.575383', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Cache', 'response_or_referral': 'Answer: 94.177.210.15', 'domain_name': 'arudns1.aruba.it.', 'cache_status': 'HIT', 'dns_server_ip': 'N/A', 'round_trip_time': '0.0000s', 'timestamp': '2025-10-26T15:41:25.880225', 'resolution_mode': 'Iterative (Cached)', 'total_time_to_resolution': '0.0000s'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Timeout or invalid response', 'domain_name': 'dns.technorail.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2863s', 'timestamp': '2025-10-26T15:41:25.879175', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 94.177.210.13', 'domain_name': 'dns.technorail.com.', 'cache_status': 'MISS', 'dns_server_ip': '94.177.210.15', 'round_trip_time': '0.2373s', 'timestamp': '2025-10-26T15:41:26.136157', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.8689s'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Timeout or invalid response', 'domain_name': 'autofirenze.biz', 'cache_status': 'MISS', 'dns_server_ip': '156.154.125.65', 'round_trip_time': '0.2785s', 'timestamp': '2025-10-26T15:41:25.265905', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 89.46.109.17', 'domain_name': 'autofirenze.biz', 'cache_status': 'MISS', 'dns_server_ip': '94.177.210.13', 'round_trip_time': '0.2421s', 'timestamp': '2025-10-26T15:41:26.383862', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '1.7048s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'house-sg.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2642s', 'timestamp': '2025-10-26T15:41:26.704310', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: e.dns.cn. @ Glue IP: 203.119.29.1', 'domain_name': 'ns1.4.cn.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2037s', 'timestamp': '2025-10-26T15:41:27.113391', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'vip3.alidns.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2529s', 'timestamp': '2025-10-26T15:41:27.626016', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns3.aliyun.com. @ Glue IP: 106.11.35.29', 'domain_name': 'vip3.alidns.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.3906s', 'timestamp': '2025-10-26T15:41:28.033611', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 170.33.80.10', 'domain_name': 'vip3.alidns.com.', 'cache_status': 'MISS', 'dns_server_ip': '106.11.35.29', 'round_trip_time': '0.3930s', 'timestamp': '2025-10-26T15:41:28.440280', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '1.0777s'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Timeout or invalid response', 'domain_name': 'ns1.4.cn.', 'cache_status': 'MISS', 'dns_server_ip': '203.119.29.1', 'round_trip_time': '0.2365s', 'timestamp': '2025-10-26T15:41:27.363430', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 107.167.27.66', 'domain_name': 'ns1.4.cn.', 'cache_status': 'MISS', 'dns_server_ip': '170.33.80.10', 'round_trip_time': '0.4220s', 'timestamp': '2025-10-26T15:41:28.870908', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '1.9692s'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Timeout or invalid response', 'domain_name': 'house-sg.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1789s', 'timestamp': '2025-10-26T15:41:26.901544', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 208.98.40.209', 'domain_name': 'house-sg.com', 'cache_status': 'MISS', 'dns_server_ip': '107.167.27.66', 'round_trip_time': '0.3313s', 'timestamp': '2025-10-26T15:41:29.211742', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '2.7720s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'camcard.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2021s', 'timestamp': '2025-10-26T15:41:29.482644', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns-48.awsdns-06.com. @ Glue IP: 205.251.192.48', 'domain_name': 'camcard.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.1782s', 'timestamp': '2025-10-26T15:41:29.686120', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 184.169.200.40', 'domain_name': 'camcard.com', 'cache_status': 'MISS', 'dns_server_ip': '205.251.192.48', 'round_trip_time': '0.2131s', 'timestamp': '2025-10-26T15:41:29.908711', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.6316s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: ns4.apnic.net. @ Glue IP: 202.12.31.53', 'domain_name': 'ppsuika.ac.id', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.1780s', 'timestamp': '2025-10-26T15:41:30.145928', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: b.dns.id. @ Glue IP: 103.19.177.177', 'domain_name': 'ppsuika.ac.id', 'cache_status': 'MISS', 'dns_server_ip': '202.12.31.53', 'round_trip_time': '0.3271s', 'timestamp': '2025-10-26T15:41:30.488454', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'ns1.rumahweb.com.', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.3364s', 'timestamp': '2025-10-26T15:41:31.142076', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: asa.ns.cloudflare.com. @ Glue IP: 108.162.192.246', 'domain_name': 'ns1.rumahweb.com.', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2527s', 'timestamp': '2025-10-26T15:41:31.413336', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 139.162.19.83', 'domain_name': 'ns1.rumahweb.com.', 'cache_status': 'MISS', 'dns_server_ip': '108.162.192.246', 'round_trip_time': '0.2885s', 'timestamp': '2025-10-26T15:41:31.716929', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '0.9181s'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Timeout or invalid response', 'domain_name': 'ppsuika.ac.id', 'cache_status': 'MISS', 'dns_server_ip': '103.19.177.177', 'round_trip_time': '0.2934s', 'timestamp': '2025-10-26T15:41:30.793916', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'Authoritative', 'response_or_referral': 'Answer: 203.175.8.54', 'domain_name': 'ppsuika.ac.id', 'cache_status': 'MISS', 'dns_server_ip': '139.162.19.83', 'round_trip_time': '0.3959s', 'timestamp': '2025-10-26T15:41:32.123325', 'resolution_mode': 'Iterative (Resolved)', 'total_time_to_resolution': '2.1565s'}
{'step_of_resolution': 'Root', 'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'domain_name': 'healthnews4you.com', 'cache_status': 'MISS', 'dns_server_ip': '198.41.0.4', 'round_trip_time': '0.2601s', 'timestamp': '2025-10-26T15:41:32.438628', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
{'step_of_resolution': 'TLD/Authoritative', 'response_or_referral': 'Delegation to: ns66.domaincontrol.com. @ Glue IP: 173.201.70.43', 'domain_name': 'healthnews4you.com', 'cache_status': 'MISS', 'dns_server_ip': '192.41.162.30', 'round_trip_time': '0.2880s', 'timestamp': '2025-10-26T15:41:32.741227', 'resolution_mode': 'Iterative (Delegation)', 'total_time_to_resolution': 'N/A'}
