DNS Resolver Log Started: 2025-10-26T15:48:39.237830
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:48:49.790988', 'round_trip_time': '0.2284s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'wpad', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 69.48.168.47', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:51.749438', 'round_trip_time': '0.4030s', 'total_time_to_resolution': '0.9561s', 'dns_server_ip': '69.48.168.48', 'domain_name': 'virtualjerusalem.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: dns1.nic.uk. @ Glue IP: 213.248.216.1', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:52.065188', 'round_trip_time': '0.2520s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'morban.co.uk', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: b.gtld.biz. @ Glue IP: 156.154.125.65', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:52.574691', 'round_trip_time': '0.2018s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ns1040.ui-dns.biz.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns-biz.ui-dns.com. @ Glue IP: 185.132.33.195', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:52.772488', 'round_trip_time': '0.1834s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '156.154.125.65', 'domain_name': 'ns1040.ui-dns.biz.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 217.160.81.40', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:53.080751', 'round_trip_time': '0.2991s', 'total_time_to_resolution': '0.7152s', 'dns_server_ip': '185.132.33.195', 'domain_name': 'ns1040.ui-dns.biz.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:52.364472', 'round_trip_time': '0.2826s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '213.248.216.1', 'domain_name': 'morban.co.uk', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 217.160.0.111', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:53.387674', 'round_trip_time': '0.3004s', 'total_time_to_resolution': '1.5748s', 'dns_server_ip': '217.160.81.40', 'domain_name': 'morban.co.uk', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: a2.org.afilias-nst.info. @ Glue IP: 199.249.112.1', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:53.698163', 'round_trip_time': '0.2544s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'mechachal.org', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:54.004464', 'round_trip_time': '0.2922s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '199.249.112.1', 'domain_name': 'mechachal.org', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:54.317009', 'round_trip_time': '0.2527s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'noblewomanhood.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:54.829848', 'round_trip_time': '0.2070s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ns47.1and1.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns-1and1.ui-dns.com. @ Glue IP: 217.160.82.200', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:55.129947', 'round_trip_time': '0.2833s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ns47.1and1.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 217.160.82.37', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:55.436357', 'round_trip_time': '0.2991s', 'total_time_to_resolution': '0.8188s', 'dns_server_ip': '217.160.82.200', 'domain_name': 'ns47.1and1.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:54.616536', 'round_trip_time': '0.2851s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'noblewomanhood.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 74.208.236.114', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:50:55.744491', 'round_trip_time': '0.3042s', 'total_time_to_resolution': '1.6805s', 'dns_server_ip': '217.160.82.37', 'domain_name': 'noblewomanhood.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:56.058123', 'round_trip_time': '0.2389s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'cosmeticaestheticsurgery.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:56.662186', 'round_trip_time': '0.2979s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ns11.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:57.190632', 'round_trip_time': '0.3139s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:57.595938', 'round_trip_time': '0.1959s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:58.214713', 'round_trip_time': '0.3073s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:58.824786', 'round_trip_time': '0.3043s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:50:59.437173', 'round_trip_time': '0.2988s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:00.046043', 'round_trip_time': '0.2953s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:00.458620', 'round_trip_time': '0.1978s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:00.865973', 'round_trip_time': '0.1902s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:01.484986', 'round_trip_time': '0.2984s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:01.788886', 'round_trip_time': '0.2897s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:01.173995', 'round_trip_time': '0.2905s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:00.663905', 'round_trip_time': '0.1935s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:00.251841', 'round_trip_time': '0.1905s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:59.738802', 'round_trip_time': '0.2882s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:59.125091', 'round_trip_time': '0.2802s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:58.512346', 'round_trip_time': '0.2840s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:57.895015', 'round_trip_time': '0.2878s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:57.391450', 'round_trip_time': '0.1782s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ans01.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ans01.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:56.868071', 'round_trip_time': '0.1950s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ns11.domaincontrol.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Failed to resolve next NS IP: ns11.domaincontrol.com.', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:50:56.358056', 'round_trip_time': '0.2857s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'cosmeticaestheticsurgery.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: nsza.is.co.za. @ Glue IP: 196.4.160.27', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:02.095124', 'round_trip_time': '0.2909s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'note-so-easy.co.za', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: coza1.dnsnode.net. @ Glue IP: 206.223.136.200', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:02.505875', 'round_trip_time': '0.3968s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '196.4.160.27', 'domain_name': 'note-so-easy.co.za', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: nsza.is.co.za. @ Glue IP: 196.4.160.27', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:03.118530', 'round_trip_time': '0.2232s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ns3.theforce.co.za.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns.coza.net.za. @ Glue IP: 206.223.136.200', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:03.531230', 'round_trip_time': '0.4000s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '196.4.160.27', 'domain_name': 'ns3.theforce.co.za.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:04.148667', 'round_trip_time': '0.1949s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ns1.mydnscloud.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns1.mydnscloud.com. @ Glue IP: 102.214.10.93', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:04.348543', 'round_trip_time': '0.1871s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'ns1.mydnscloud.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 102.214.10.93', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:51:04.716331', 'round_trip_time': '0.3600s', 'total_time_to_resolution': '0.7732s', 'dns_server_ip': '102.214.10.93', 'domain_name': 'ns1.mydnscloud.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:03.941829', 'round_trip_time': '0.4026s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '206.223.136.200', 'domain_name': 'ns3.theforce.co.za.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 102.211.204.40', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:51:05.163756', 'round_trip_time': '0.4435s', 'total_time_to_resolution': '2.2727s', 'dns_server_ip': '102.214.10.93', 'domain_name': 'ns3.theforce.co.za.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:02.890868', 'round_trip_time': '0.3753s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '206.223.136.200', 'domain_name': 'note-so-easy.co.za', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 102.211.204.40', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:51:05.575526', 'round_trip_time': '0.4047s', 'total_time_to_resolution': '3.7716s', 'dns_server_ip': '102.211.204.40', 'domain_name': 'note-so-easy.co.za', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:05.890622', 'round_trip_time': '0.2530s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'vietcapitaltour.com', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:06.196034', 'round_trip_time': '0.2896s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'vietcapitaltour.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: a2.org.afilias-nst.info. @ Glue IP: 199.249.112.1', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:06.499987', 'round_trip_time': '0.2454s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'ncees.org', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:07.011040', 'round_trip_time': '0.2025s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'tina.ns.cloudflare.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: ns3.cloudflare.com. @ Glue IP: 162.159.0.33', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:07.318460', 'round_trip_time': '0.2920s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'tina.ns.cloudflare.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 172.64.32.230', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:51:07.622974', 'round_trip_time': '0.2873s', 'total_time_to_resolution': '0.8197s', 'dns_server_ip': '162.159.0.33', 'domain_name': 'tina.ns.cloudflare.com.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:06.803380', 'round_trip_time': '0.2901s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '199.249.112.1', 'domain_name': 'ncees.org', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 172.66.158.97', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:51:07.825963', 'round_trip_time': '0.1916s', 'total_time_to_resolution': '1.5719s', 'dns_server_ip': '172.64.32.230', 'domain_name': 'ncees.org', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:08.141172', 'round_trip_time': '0.2540s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'laigang001.com', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:08.442421', 'round_trip_time': '0.2881s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'laigang001.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: a.nic.de. @ Glue IP: 194.0.0.53', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:08.751437', 'round_trip_time': '0.2413s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'verlockeshop.de', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: a.nic.de. @ Glue IP: 194.0.0.53', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:09.268406', 'round_trip_time': '0.2942s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'nsa0.schlundtech.de.', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: any1.nodesecure.com. @ Glue IP: 176.97.158.7', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:09.568769', 'round_trip_time': '0.2887s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '194.0.0.53', 'domain_name': 'nsa0.schlundtech.de.', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 62.116.159.10', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:51:09.877737', 'round_trip_time': '0.3024s', 'total_time_to_resolution': '0.9106s', 'dns_server_ip': '176.97.158.7', 'domain_name': 'nsa0.schlundtech.de.', 'cache_status': 'MISS'}
{'response_or_referral': 'Timeout or invalid response', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:08.964543', 'round_trip_time': '0.2042s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '194.0.0.53', 'domain_name': 'verlockeshop.de', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 185.64.112.230', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:51:10.129408', 'round_trip_time': '0.2452s', 'total_time_to_resolution': '1.6196s', 'dns_server_ip': '62.116.159.10', 'domain_name': 'verlockeshop.de', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:10.393300', 'round_trip_time': '0.2105s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'clickdownloadfiles.com', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:10.747895', 'round_trip_time': '0.3379s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'clickdownloadfiles.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: l.gtld-servers.net. @ Glue IP: 192.41.162.30', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:10.989749', 'round_trip_time': '0.1850s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'e-hps.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: pdns3.ultradns.org. @ Glue IP: 204.74.104.130', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:11.206711', 'round_trip_time': '0.2036s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '192.41.162.30', 'domain_name': 'e-hps.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Answer: 208.44.185.221', 'step_of_resolution': 'Authoritative', 'resolution_mode': 'Iterative (Resolved)', 'timestamp': '2025-10-26T15:51:11.515891', 'round_trip_time': '0.2999s', 'total_time_to_resolution': '0.7117s', 'dns_server_ip': '204.74.104.130', 'domain_name': 'e-hps.com', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: f.nic.rs. @ Glue IP: 204.61.216.32', 'step_of_resolution': 'Root', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:11.827340', 'round_trip_time': '0.2433s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '198.41.0.4', 'domain_name': 'drglendza.co.rs', 'cache_status': 'MISS'}
{'response_or_referral': 'Delegation to: a.nic.rs. @ Glue IP: 194.146.106.114', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Delegation)', 'timestamp': '2025-10-26T15:51:12.032260', 'round_trip_time': '0.1858s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '204.61.216.32', 'domain_name': 'drglendza.co.rs', 'cache_status': 'MISS'}
{'response_or_referral': 'No authority section for delegation', 'step_of_resolution': 'TLD/Authoritative', 'resolution_mode': 'Iterative (Failed delegation)', 'timestamp': '2025-10-26T15:51:12.435365', 'round_trip_time': '0.3875s', 'total_time_to_resolution': 'N/A', 'dns_server_ip': '194.146.106.114', 'domain_name': 'drglendza.co.rs', 'cache_status': 'MISS'}
